Country,Date,Region,State (Mapping),State1,Year Select,Demographic:Poverty(% of Persons ),Economic:GDP in crore,Number of Records,Political:Total Persons involved in corruption
India,01-01-1994,Eastern,Bihar,Bihar,False,,0,1,
India,01-01-1994,Eastern,Chhattisgarh,Chhattisgarh,False,,0,1,
India,01-01-1994,Eastern,Jharkhand,Jharkhand,False,,0,1,
India,01-01-1994,Eastern,Odisha,Odisha,False,,0,1,
India,01-01-1994,Eastern,West Bengal,West Bengal,False,,0,1,
India,01-01-1994,North Eastern,Arunachal Pradesh,Arunachal Pradesh,False,,0,1,
India,01-01-1994,North Eastern,Assam,Assam,False,,0,1,
India,01-01-1994,North Eastern,Manipur,Manipur,False,,0,1,
India,01-01-1994,North Eastern,Meghalaya,Meghalaya,False,,0,1,
India,01-01-1994,North Eastern,Mizoram,Mizoram,False,,0,1,
India,01-01-1994,North Eastern,Nagaland,Nagaland,False,,0,1,
India,01-01-1994,North Eastern,Sikkim,Sikkim,False,,0,1,
India,01-01-1994,North Eastern,Tripura,Tripura,False,,0,1,
India,01-01-1994,Northern,Chandigarh,Chandigarh,False,,0,1,
India,01-01-1994,Northern,Delhi,Delhi,False,,0,1,
India,01-01-1994,Northern,Haryana,Haryana,False,,0,1,
India,01-01-1994,Northern,Himachal Pradesh,Himachal Pradesh,False,,0,1,
India,01-01-1994,Northern,Jammu and Kashmir,Jammu and Kashmir,False,,0,1,
India,01-01-1994,Northern,Madhya Pradesh,Madhya Pradesh,False,,0,1,
India,01-01-1994,Northern,Punjab,Punjab,False,,0,1,
India,01-01-1994,Northern,Uttar Pradesh,Uttar Pradesh,False,,0,1,
India,01-01-1994,Northern,Uttarakhand,Uttarakhand,False,,0,1,
India,01-01-1994,Southern,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False,,0,1,
India,01-01-1994,Southern,Andhra Pradesh,Andhra Pradesh,False,,0,1,
India,01-01-1994,Southern,Karnataka,Karnataka,False,,0,1,
India,01-01-1994,Southern,Kerala,Kerala,False,,0,1,
India,01-01-1994,Southern,Lakshadweep,Lakshadweep,False,,0,1,
India,01-01-1994,Southern,Puducherry,Puducherry,False,,0,1,
India,01-01-1994,Southern,Tamil Nadu,Tamil Nadu,False,,0,1,
India,01-01-1994,Southern,Telangana,Telangana,False,,0,1,
India,01-01-1994,Western,Dadra & Nagar Haveli,Dadra & Nagar Haveli,False,,0,1,
India,01-01-1994,Western,Daman & Diu,Daman & Diu,False,,0,1,
India,01-01-1994,Western,Goa,Goa,False,,0,1,
India,01-01-1994,Western,Gujarat,Gujarat,False,,0,1,
India,01-01-1994,Western,Maharashtra,Maharashtra,False,,0,1,
India,01-01-1994,Western,Rajasthan,Rajasthan,False,,0,1,
India,01-01-1999,Eastern,Bihar,Bihar,False,,0,1,
India,01-01-1999,Eastern,Chhattisgarh,Chhattisgarh,False,,0,1,
India,01-01-1999,Eastern,Jharkhand,Jharkhand,False,,0,1,
India,01-01-1999,Eastern,Odisha,Odisha,False,,0,1,
India,01-01-1999,Eastern,West Bengal,West Bengal,False,,0,1,
India,01-01-1999,North Eastern,Arunachal Pradesh,Arunachal Pradesh,False,,0,1,
India,01-01-1999,North Eastern,Assam,Assam,False,,0,1,
India,01-01-1999,North Eastern,Manipur,Manipur,False,,0,1,
India,01-01-1999,North Eastern,Meghalaya,Meghalaya,False,,0,1,
India,01-01-1999,North Eastern,Mizoram,Mizoram,False,,0,1,
India,01-01-1999,North Eastern,Nagaland,Nagaland,False,,0,1,
India,01-01-1999,North Eastern,Sikkim,Sikkim,False,,0,1,
India,01-01-1999,North Eastern,Tripura,Tripura,False,,0,1,
India,01-01-1999,Northern,Chandigarh,Chandigarh,False,,0,1,
India,01-01-1999,Northern,Delhi,Delhi,False,,0,1,
India,01-01-1999,Northern,Haryana,Haryana,False,,0,1,
India,01-01-1999,Northern,Himachal Pradesh,Himachal Pradesh,False,,0,1,
India,01-01-1999,Northern,Jammu and Kashmir,Jammu and Kashmir,False,,0,1,
India,01-01-1999,Northern,Madhya Pradesh,Madhya Pradesh,False,,0,1,
India,01-01-1999,Northern,Punjab,Punjab,False,,0,1,
India,01-01-1999,Northern,Uttar Pradesh,Uttar Pradesh,False,,0,1,
India,01-01-1999,Northern,Uttarakhand,Uttarakhand,False,,0,1,
India,01-01-1999,Southern,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False,,0,1,
India,01-01-1999,Southern,Andhra Pradesh,Andhra Pradesh,False,,0,1,
India,01-01-1999,Southern,Karnataka,Karnataka,False,,0,1,
India,01-01-1999,Southern,Kerala,Kerala,False,,0,1,
India,01-01-1999,Southern,Lakshadweep,Lakshadweep,False,,0,1,
India,01-01-1999,Southern,Puducherry,Puducherry,False,,0,1,
India,01-01-1999,Southern,Tamil Nadu,Tamil Nadu,False,,0,1,
India,01-01-1999,Southern,Telangana,Telangana,False,,0,1,
India,01-01-1999,Western,Dadra & Nagar Haveli,Dadra & Nagar Haveli,False,,0,1,
India,01-01-1999,Western,Daman & Diu,Daman & Diu,False,,0,1,
India,01-01-1999,Western,Goa,Goa,False,,0,1,
India,01-01-1999,Western,Gujarat,Gujarat,False,,0,1,
India,01-01-1999,Western,Maharashtra,Maharashtra,False,,0,1,
India,01-01-1999,Western,Rajasthan,Rajasthan,False,,0,1,
India,01-01-2000,Eastern,Bihar,Bihar,False,,0,1,
India,01-01-2000,Eastern,Chhattisgarh,Chhattisgarh,False,,0,1,
India,01-01-2000,Eastern,Jharkhand,Jharkhand,False,,0,1,
India,01-01-2000,Eastern,Odisha,Odisha,False,,0,1,
India,01-01-2000,Eastern,West Bengal,West Bengal,False,,0,1,
India,01-01-2000,North Eastern,Arunachal Pradesh,Arunachal Pradesh,False,,0,1,
India,01-01-2000,North Eastern,Assam,Assam,False,,0,1,
India,01-01-2000,North Eastern,Manipur,Manipur,False,,0,1,
India,01-01-2000,North Eastern,Meghalaya,Meghalaya,False,,0,1,
India,01-01-2000,North Eastern,Mizoram,Mizoram,False,,0,1,
India,01-01-2000,North Eastern,Nagaland,Nagaland,False,,0,1,
India,01-01-2000,North Eastern,Sikkim,Sikkim,False,,0,1,
India,01-01-2000,North Eastern,Tripura,Tripura,False,,0,1,
India,01-01-2000,Northern,Chandigarh,Chandigarh,False,,0,1,
India,01-01-2000,Northern,Delhi,Delhi,False,,0,1,
India,01-01-2000,Northern,Haryana,Haryana,False,,0,1,
India,01-01-2000,Northern,Himachal Pradesh,Himachal Pradesh,False,,0,1,
India,01-01-2000,Northern,Jammu and Kashmir,Jammu and Kashmir,False,,0,1,
India,01-01-2000,Northern,Madhya Pradesh,Madhya Pradesh,False,,0,1,
India,01-01-2000,Northern,Punjab,Punjab,False,,0,1,
India,01-01-2000,Northern,Uttar Pradesh,Uttar Pradesh,False,,0,1,
India,01-01-2000,Northern,Uttarakhand,Uttarakhand,False,,0,1,
India,01-01-2000,Southern,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False,,0,1,
India,01-01-2000,Southern,Andhra Pradesh,Andhra Pradesh,False,,0,1,
India,01-01-2000,Southern,Karnataka,Karnataka,False,,0,1,
India,01-01-2000,Southern,Kerala,Kerala,False,,0,1,
India,01-01-2000,Southern,Lakshadweep,Lakshadweep,False,,0,1,
India,01-01-2000,Southern,Puducherry,Puducherry,False,,0,1,
India,01-01-2000,Southern,Tamil Nadu,Tamil Nadu,False,,0,1,
India,01-01-2000,Southern,Telangana,Telangana,False,,0,1,
India,01-01-2000,Western,Dadra & Nagar Haveli,Dadra & Nagar Haveli,False,,0,1,
India,01-01-2000,Western,Daman & Diu,Daman & Diu,False,,0,1,
India,01-01-2000,Western,Goa,Goa,False,,0,1,
India,01-01-2000,Western,Gujarat,Gujarat,False,,0,1,
India,01-01-2000,Western,Maharashtra,Maharashtra,False,,0,1,
India,01-01-2000,Western,Rajasthan,Rajasthan,False,,0,1,
India,01-01-2001,Eastern,Bihar,Bihar,False,,0,1,83
India,01-01-2001,Eastern,Chhattisgarh,Chhattisgarh,False,,0,1,
India,01-01-2001,Eastern,Jharkhand,Jharkhand,False,,0,1,
India,01-01-2001,Eastern,Odisha,Odisha,False,,0,1,490
India,01-01-2001,Eastern,West Bengal,West Bengal,False,,0,1,4
India,01-01-2001,North Eastern,Arunachal Pradesh,Arunachal Pradesh,False,,0,1,0
India,01-01-2001,North Eastern,Assam,Assam,False,,0,1,25
India,01-01-2001,North Eastern,Manipur,Manipur,False,,0,1,6
India,01-01-2001,North Eastern,Meghalaya,Meghalaya,False,,0,1,0
India,01-01-2001,North Eastern,Mizoram,Mizoram,False,,0,1,0
India,01-01-2001,North Eastern,Nagaland,Nagaland,False,,0,1,24
India,01-01-2001,North Eastern,Sikkim,Sikkim,False,,0,1,0
India,01-01-2001,North Eastern,Tripura,Tripura,False,,0,1,1
India,01-01-2001,Northern,Chandigarh,Chandigarh,False,,0,1,43
India,01-01-2001,Northern,Delhi,Delhi,False,,0,1,87
India,01-01-2001,Northern,Haryana,Haryana,False,,0,1,209
India,01-01-2001,Northern,Himachal Pradesh,Himachal Pradesh,False,,0,1,81
India,01-01-2001,Northern,Jammu and Kashmir,Jammu and Kashmir,False,,0,1,106
India,01-01-2001,Northern,Madhya Pradesh,Madhya Pradesh,False,,0,1,347
India,01-01-2001,Northern,Punjab,Punjab,False,,0,1,411
India,01-01-2001,Northern,Uttar Pradesh,Uttar Pradesh,False,,0,1,132
India,01-01-2001,Northern,Uttarakhand,Uttarakhand,False,,0,1,1
India,01-01-2001,Southern,Andaman & Nicobar Islands,Andaman & Nicobar Islands,False,,0,1,0
India,01-01-2001,Southern,Andhra Pradesh,Andhra Pradesh,False,,0,1,138
India,01-01-2001,Southern,Karnataka,Karnataka,False,,0,1,202
India,01-01-2001,Southern,Kerala,Kerala,False,,0,1,1382
India,01-01-2001,Southern,Lakshadweep,Lakshadweep,False,,0,1,0
India,01-01-2001,Southern,Puducherry,Puducherry,False,,0,1,10
India,01-01-2001,Southern,Tamil Nadu,Tamil Nadu,False,,0,1,129
India,01-01-2001,Southern,Telangana,Telangana,False,,0,1,138
India,01-01-2001,Western,Dadra & Nagar Haveli,Dadra & Nagar Haveli,False,,0,1,0
India,01-01-2001,Western,Daman & Diu,Daman & Diu,False,,0,1,0
