 Profiling States  based on Below Poverty Line Percentage, Profiling States  based on Gross Enrolment Ratio,Classification States based on  Mean Years of Schooling,Classifying States  based on Literacy Rate,State (Acceptable Performance),State (Under Performance),State Label,State type1,State1,Under Performance/Acceptable Performance,Access,Access to drinking water - % of households,Below Poverty Line %,F27,F28,Female total LFPR (Rural+Urban),Gross Enrolment Ratio (upper primary level),Installed Electricity capacity per unit area (kW/km-sqr),Installed power capacity (MW),Literacy,Male total LFPR (Rural+Urban),Mean Years of School of labour force,Number of Records,Rural Female LFPR,Rural Male LFPR,Rural total LFPR (Male+Female),State class,State surface area (km-sqr),Total LFPR (R+U+M+F),Urban Female LFPR,Urban Male LFPR,Urban total LFPR (Male+Female)
Very High Poverty and High Labour Participation,Low School Enrolment and High Labour Participation,Low Mean Years in Schooling High LPR,Low Literacy and High Labour Participation,Karnataka,AP,Can be emulated,Above average state,Karnataka,Acceptable Performance,87.5,0.875,0.2091,,,340,69.14,34.49014813,6614.9,0.756,831,5.499,1,397,842,623,2,191791,592,242,813,540
Very Low Poverty and High Labour Participation,High School Enrolment and High Labour Participation,High Mean Years in Schooling High LPR,High Literacy and High Labour Participation,Maharashtra,AP,Can be emulated,Above average state,Maharashtra,Acceptable Performance,83.4,0.834,0.1735,,,372,88.93,36.141144508,11121.1,0.8291,803,6.825,1,497,806,658,2,307713,596,234,800,527
Very Low Poverty and High Labour Participation,High School Enrolment and High Labour Participation,High Mean Years in Schooling High LPR,High Literacy and High Labour Participation,Andaman & Nicobar Islands,AP,Not considered,Above average state,Andaman & Nicobar Islands,Acceptable Performance,85.5,0.855,0.0969,,,344,89.83,5.491574736,45.3,0.8627,849,8.223,1,342,852,593,2,8249,593,348,843,592
Very Low Poverty and High Labour Participation,Low School Enrolment and High Labour Participation,Low Mean Years in Schooling High LPR,Low Literacy and High Labour Participation,Andhra Pradesh,AP,Not considered,Above average state,Andhra Pradesh,Acceptable Performance,90.5,0.905,0.092,,,453,79.12,30.838226472,8481.9,0.6766,822,4.327,1,560,830,692,1,275045,635,242,806,528
Very High Poverty and High Labour Participation,High School Enrolment and High Labour Participation,Low Mean Years in Schooling High LPR,Low Literacy and High Labour Participation,Chhattisgarh,AP,Not considered,Above average state,Chhattisgarh,Acceptable Performance,86.3,0.863,0.3993,,,490,88.3,16.266615381,2199.1,0.7104,828,4.467,1,528,837,683,1,135191,660,355,798,583
Very High Poverty and High Labour Participation,Low School Enrolment and High Labour Participation,High Mean Years in Schooling High LPR,High Literacy and High Labour Participation,Daman & Diu,AP,Not considered,Above average state,Daman & Diu,Acceptable Performance,98.7,0.987,0.3931,,,97,81.19,0,0,0.8707,925,9.149,1,53,947,606,2,112,588,189,860,543
Very Low Poverty and High Labour Participation,Low School Enrolment and High Labour Participation,Low Mean Years in Schooling High LPR,High Literacy and High Labour Participation,Gujarat,AP,Not considered,Above average state,Gujarat,Acceptable Performance,90.3,0.903,0.1663,,,307,59.75,30.261090479,5931.9,0.7931,865,5.844,1,383,875,639,1,196024,603,192,853,554
Very Low Poverty and High Labour Participation,Low School Enrolment and High Labour Participation,High Mean Years in Schooling High LPR,Low Literacy and High Labour Participation,Meghalaya,AP,Not considered,Above average state,Meghalaya,Acceptable Performance,44.7,0.447,0.1187,,,537,83.46,8.431049088,189.1,0.7548,784,6.09,1,605,807,707,1,22429,660,309,700,496
Very High Poverty and High Labour Participation,High School Enrolment and High Labour Participation,High Mean Years in Schooling High LPR,High Literacy and High Labour Participation,Mizoram,AP,Not considered,Above average state,Mizoram,Acceptable Performance,60.4,0.604,0.204,,,485,104.75,4.188605854,88.3,0.9158,827,7.603,1,593,895,749,1,21081,657,384,756,566
Very Low Poverty and High Labour Participation,Low School Enrolment and High Labour Participation,Low Mean Years in Schooling High LPR,Low Literacy and High Labour Participation,Rajasthan,AP,Not considered,Above average state,Rajasthan,Acceptable Performance,78.1,0.781,0.1471,,,360,76.54,14.834662327,5077,0.6706,771,4.034,1,413,776,595,2,342239,569,200,758,492
