Date,Sector,State,Number of Records,Values
01-01-1994,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-1994,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-1994,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-1994,Economic:GDP in crore,Assam,1,0
01-01-1994,Economic:GDP in crore,Bihar,1,0
01-01-1994,Economic:GDP in crore,Chandigarh,1,0
01-01-1994,Economic:GDP in crore,Chhattisgarh,1,0
01-01-1994,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-1994,Economic:GDP in crore,Daman & Diu,1,0
01-01-1994,Economic:GDP in crore,Delhi,1,0
01-01-1994,Economic:GDP in crore,Goa,1,0
01-01-1994,Economic:GDP in crore,Gujarat,1,0
01-01-1994,Economic:GDP in crore,Haryana,1,0
01-01-1994,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-1994,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-1994,Economic:GDP in crore,Jharkhand,1,0
01-01-1994,Economic:GDP in crore,Karnataka,1,0
01-01-1994,Economic:GDP in crore,Kerala,1,0
01-01-1994,Economic:GDP in crore,Lakshadweep,1,0
01-01-1994,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-1994,Economic:GDP in crore,Maharashtra,1,0
01-01-1994,Economic:GDP in crore,Manipur,1,0
01-01-1994,Economic:GDP in crore,Meghalaya,1,0
01-01-1994,Economic:GDP in crore,Mizoram,1,0
01-01-1994,Economic:GDP in crore,Nagaland,1,0
01-01-1994,Economic:GDP in crore,Odisha,1,0
01-01-1994,Economic:GDP in crore,Puducherry,1,0
01-01-1994,Economic:GDP in crore,Punjab,1,0
01-01-1994,Economic:GDP in crore,Rajasthan,1,0
01-01-1994,Economic:GDP in crore,Sikkim,1,0
01-01-1994,Economic:GDP in crore,Tamil Nadu,1,0
01-01-1994,Economic:GDP in crore,Telangana,1,0
01-01-1994,Economic:GDP in crore,Tripura,1,0
01-01-1994,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-1994,Economic:GDP in crore,Uttarakhand,1,0
01-01-1994,Economic:GDP in crore,West Bengal,1,0
01-01-1999,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-1999,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-1999,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-1999,Economic:GDP in crore,Assam,1,0
01-01-1999,Economic:GDP in crore,Bihar,1,0
01-01-1999,Economic:GDP in crore,Chandigarh,1,0
01-01-1999,Economic:GDP in crore,Chhattisgarh,1,0
01-01-1999,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-1999,Economic:GDP in crore,Daman & Diu,1,0
01-01-1999,Economic:GDP in crore,Delhi,1,0
01-01-1999,Economic:GDP in crore,Goa,1,0
01-01-1999,Economic:GDP in crore,Gujarat,1,0
01-01-1999,Economic:GDP in crore,Haryana,1,0
01-01-1999,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-1999,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-1999,Economic:GDP in crore,Jharkhand,1,0
01-01-1999,Economic:GDP in crore,Karnataka,1,0
01-01-1999,Economic:GDP in crore,Kerala,1,0
01-01-1999,Economic:GDP in crore,Lakshadweep,1,0
01-01-1999,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-1999,Economic:GDP in crore,Maharashtra,1,0
01-01-1999,Economic:GDP in crore,Manipur,1,0
01-01-1999,Economic:GDP in crore,Meghalaya,1,0
01-01-1999,Economic:GDP in crore,Mizoram,1,0
01-01-1999,Economic:GDP in crore,Nagaland,1,0
01-01-1999,Economic:GDP in crore,Odisha,1,0
01-01-1999,Economic:GDP in crore,Puducherry,1,0
01-01-1999,Economic:GDP in crore,Punjab,1,0
01-01-1999,Economic:GDP in crore,Rajasthan,1,0
01-01-1999,Economic:GDP in crore,Sikkim,1,0
01-01-1999,Economic:GDP in crore,Tamil Nadu,1,0
01-01-1999,Economic:GDP in crore,Telangana,1,0
01-01-1999,Economic:GDP in crore,Tripura,1,0
01-01-1999,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-1999,Economic:GDP in crore,Uttarakhand,1,0
01-01-1999,Economic:GDP in crore,West Bengal,1,0
01-01-2000,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-2000,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-2000,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-2000,Economic:GDP in crore,Assam,1,0
01-01-2000,Economic:GDP in crore,Bihar,1,0
01-01-2000,Economic:GDP in crore,Chandigarh,1,0
01-01-2000,Economic:GDP in crore,Chhattisgarh,1,0
01-01-2000,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2000,Economic:GDP in crore,Daman & Diu,1,0
01-01-2000,Economic:GDP in crore,Delhi,1,0
01-01-2000,Economic:GDP in crore,Goa,1,0
01-01-2000,Economic:GDP in crore,Gujarat,1,0
01-01-2000,Economic:GDP in crore,Haryana,1,0
01-01-2000,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-2000,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-2000,Economic:GDP in crore,Jharkhand,1,0
01-01-2000,Economic:GDP in crore,Karnataka,1,0
01-01-2000,Economic:GDP in crore,Kerala,1,0
01-01-2000,Economic:GDP in crore,Lakshadweep,1,0
01-01-2000,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-2000,Economic:GDP in crore,Maharashtra,1,0
01-01-2000,Economic:GDP in crore,Manipur,1,0
01-01-2000,Economic:GDP in crore,Meghalaya,1,0
01-01-2000,Economic:GDP in crore,Mizoram,1,0
01-01-2000,Economic:GDP in crore,Nagaland,1,0
01-01-2000,Economic:GDP in crore,Odisha,1,0
01-01-2000,Economic:GDP in crore,Puducherry,1,0
01-01-2000,Economic:GDP in crore,Punjab,1,0
01-01-2000,Economic:GDP in crore,Rajasthan,1,0
01-01-2000,Economic:GDP in crore,Sikkim,1,0
01-01-2000,Economic:GDP in crore,Tamil Nadu,1,0
01-01-2000,Economic:GDP in crore,Telangana,1,0
01-01-2000,Economic:GDP in crore,Tripura,1,0
01-01-2000,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-2000,Economic:GDP in crore,Uttarakhand,1,0
01-01-2000,Economic:GDP in crore,West Bengal,1,0
01-01-2001,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-2001,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-2001,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-2001,Economic:GDP in crore,Assam,1,0
01-01-2001,Economic:GDP in crore,Bihar,1,0
01-01-2001,Economic:GDP in crore,Chandigarh,1,0
01-01-2001,Economic:GDP in crore,Chhattisgarh,1,0
01-01-2001,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2001,Economic:GDP in crore,Daman & Diu,1,0
01-01-2001,Economic:GDP in crore,Delhi,1,0
01-01-2001,Economic:GDP in crore,Goa,1,0
01-01-2001,Economic:GDP in crore,Gujarat,1,0
01-01-2001,Economic:GDP in crore,Haryana,1,0
01-01-2001,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-2001,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-2001,Economic:GDP in crore,Jharkhand,1,0
01-01-2001,Economic:GDP in crore,Karnataka,1,0
01-01-2001,Economic:GDP in crore,Kerala,1,0
01-01-2001,Economic:GDP in crore,Lakshadweep,1,0
01-01-2001,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-2001,Economic:GDP in crore,Maharashtra,1,0
01-01-2001,Economic:GDP in crore,Manipur,1,0
01-01-2001,Economic:GDP in crore,Meghalaya,1,0
01-01-2001,Economic:GDP in crore,Mizoram,1,0
01-01-2001,Economic:GDP in crore,Nagaland,1,0
01-01-2001,Economic:GDP in crore,Odisha,1,0
01-01-2001,Economic:GDP in crore,Puducherry,1,0
01-01-2001,Economic:GDP in crore,Punjab,1,0
01-01-2001,Economic:GDP in crore,Rajasthan,1,0
01-01-2001,Economic:GDP in crore,Sikkim,1,0
01-01-2001,Economic:GDP in crore,Tamil Nadu,1,0
01-01-2001,Economic:GDP in crore,Telangana,1,0
01-01-2001,Economic:GDP in crore,Tripura,1,0
01-01-2001,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-2001,Economic:GDP in crore,Uttarakhand,1,0
01-01-2001,Economic:GDP in crore,West Bengal,1,0
01-01-2001,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,0
01-01-2001,Political:Total Persons involved in corruption,Andhra Pradesh,1,138
01-01-2001,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2001,Political:Total Persons involved in corruption,Assam,1,25
01-01-2001,Political:Total Persons involved in corruption,Bihar,1,83
01-01-2001,Political:Total Persons involved in corruption,Chandigarh,1,43
01-01-2001,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,0
01-01-2001,Political:Total Persons involved in corruption,Daman & Diu,1,0
01-01-2001,Political:Total Persons involved in corruption,Delhi,1,87
01-01-2001,Political:Total Persons involved in corruption,Goa,1,14
01-01-2001,Political:Total Persons involved in corruption,Gujarat,1,248
01-01-2001,Political:Total Persons involved in corruption,Haryana,1,209
01-01-2001,Political:Total Persons involved in corruption,Himachal Pradesh,1,81
01-01-2001,Political:Total Persons involved in corruption,Jammu and Kashmir,1,106
01-01-2001,Political:Total Persons involved in corruption,Karnataka,1,202
01-01-2001,Political:Total Persons involved in corruption,Kerala,1,1382
01-01-2001,Political:Total Persons involved in corruption,Lakshadweep,1,0
01-01-2001,Political:Total Persons involved in corruption,Madhya Pradesh,1,347
01-01-2001,Political:Total Persons involved in corruption,Maharashtra,1,712
01-01-2001,Political:Total Persons involved in corruption,Manipur,1,6
01-01-2001,Political:Total Persons involved in corruption,Meghalaya,1,0
01-01-2001,Political:Total Persons involved in corruption,Mizoram,1,0
01-01-2001,Political:Total Persons involved in corruption,Nagaland,1,24
01-01-2001,Political:Total Persons involved in corruption,Odisha,1,490
01-01-2001,Political:Total Persons involved in corruption,Puducherry,1,10
01-01-2001,Political:Total Persons involved in corruption,Punjab,1,411
01-01-2001,Political:Total Persons involved in corruption,Rajasthan,1,30
01-01-2001,Political:Total Persons involved in corruption,Sikkim,1,0
01-01-2001,Political:Total Persons involved in corruption,Tamil Nadu,1,129
01-01-2001,Political:Total Persons involved in corruption,Telangana,1,138
01-01-2001,Political:Total Persons involved in corruption,Tripura,1,1
01-01-2001,Political:Total Persons involved in corruption,Uttar Pradesh,1,132
01-01-2001,Political:Total Persons involved in corruption,Uttarakhand,1,1
01-01-2001,Political:Total Persons involved in corruption,West Bengal,1,4
01-01-2002,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-2002,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-2002,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-2002,Economic:GDP in crore,Assam,1,0
01-01-2002,Economic:GDP in crore,Bihar,1,0
01-01-2002,Economic:GDP in crore,Chandigarh,1,0
01-01-2002,Economic:GDP in crore,Chhattisgarh,1,0
01-01-2002,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2002,Economic:GDP in crore,Daman & Diu,1,0
01-01-2002,Economic:GDP in crore,Delhi,1,0
01-01-2002,Economic:GDP in crore,Goa,1,0
01-01-2002,Economic:GDP in crore,Gujarat,1,0
01-01-2002,Economic:GDP in crore,Haryana,1,0
01-01-2002,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-2002,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-2002,Economic:GDP in crore,Jharkhand,1,0
01-01-2002,Economic:GDP in crore,Karnataka,1,0
01-01-2002,Economic:GDP in crore,Kerala,1,0
01-01-2002,Economic:GDP in crore,Lakshadweep,1,0
01-01-2002,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-2002,Economic:GDP in crore,Maharashtra,1,0
01-01-2002,Economic:GDP in crore,Manipur,1,0
01-01-2002,Economic:GDP in crore,Meghalaya,1,0
01-01-2002,Economic:GDP in crore,Mizoram,1,0
01-01-2002,Economic:GDP in crore,Nagaland,1,0
01-01-2002,Economic:GDP in crore,Odisha,1,0
01-01-2002,Economic:GDP in crore,Puducherry,1,0
01-01-2002,Economic:GDP in crore,Punjab,1,0
01-01-2002,Economic:GDP in crore,Rajasthan,1,0
01-01-2002,Economic:GDP in crore,Sikkim,1,0
01-01-2002,Economic:GDP in crore,Tamil Nadu,1,0
01-01-2002,Economic:GDP in crore,Telangana,1,0
01-01-2002,Economic:GDP in crore,Tripura,1,0
01-01-2002,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-2002,Economic:GDP in crore,Uttarakhand,1,0
01-01-2002,Economic:GDP in crore,West Bengal,1,0
01-01-2002,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,1
01-01-2002,Political:Total Persons involved in corruption,Andhra Pradesh,1,384
01-01-2002,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2002,Political:Total Persons involved in corruption,Assam,1,18
01-01-2002,Political:Total Persons involved in corruption,Bihar,1,63
01-01-2002,Political:Total Persons involved in corruption,Chandigarh,1,9
01-01-2002,Political:Total Persons involved in corruption,Chhattisgarh,1,62
01-01-2002,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,0
01-01-2002,Political:Total Persons involved in corruption,Daman & Diu,1,1
01-01-2002,Political:Total Persons involved in corruption,Delhi,1,94
01-01-2002,Political:Total Persons involved in corruption,Goa,1,2
01-01-2002,Political:Total Persons involved in corruption,Gujarat,1,398
01-01-2002,Political:Total Persons involved in corruption,Haryana,1,534
01-01-2002,Political:Total Persons involved in corruption,Himachal Pradesh,1,83
01-01-2002,Political:Total Persons involved in corruption,Jammu and Kashmir,1,53
01-01-2002,Political:Total Persons involved in corruption,Jharkhand,1,68
01-01-2002,Political:Total Persons involved in corruption,Karnataka,1,508
01-01-2002,Political:Total Persons involved in corruption,Kerala,1,589
01-01-2002,Political:Total Persons involved in corruption,Lakshadweep,1,0
01-01-2002,Political:Total Persons involved in corruption,Madhya Pradesh,1,335
01-01-2002,Political:Total Persons involved in corruption,Maharashtra,1,587
01-01-2002,Political:Total Persons involved in corruption,Manipur,1,20
01-01-2002,Political:Total Persons involved in corruption,Meghalaya,1,0
01-01-2002,Political:Total Persons involved in corruption,Mizoram,1,1
01-01-2002,Political:Total Persons involved in corruption,Nagaland,1,13
01-01-2002,Political:Total Persons involved in corruption,Odisha,1,0
01-01-2002,Political:Total Persons involved in corruption,Puducherry,1,5
01-01-2002,Political:Total Persons involved in corruption,Punjab,1,409
01-01-2002,Political:Total Persons involved in corruption,Rajasthan,1,30
01-01-2002,Political:Total Persons involved in corruption,Sikkim,1,3
01-01-2002,Political:Total Persons involved in corruption,Tamil Nadu,1,249
01-01-2002,Political:Total Persons involved in corruption,Telangana,1,384
01-01-2002,Political:Total Persons involved in corruption,Tripura,1,0
01-01-2002,Political:Total Persons involved in corruption,Uttar Pradesh,1,145
01-01-2002,Political:Total Persons involved in corruption,Uttarakhand,1,4
01-01-2002,Political:Total Persons involved in corruption,West Bengal,1,0
01-01-2003,Economic:GDP in crore,Andaman & Nicobar Islands,1,0
01-01-2003,Economic:GDP in crore,Andhra Pradesh,1,0
01-01-2003,Economic:GDP in crore,Arunachal Pradesh,1,0
01-01-2003,Economic:GDP in crore,Assam,1,0
01-01-2003,Economic:GDP in crore,Bihar,1,0
01-01-2003,Economic:GDP in crore,Chandigarh,1,0
01-01-2003,Economic:GDP in crore,Chhattisgarh,1,0
01-01-2003,Economic:GDP in crore,Dadra & Nagar Haveli,1,0
01-01-2003,Economic:GDP in crore,Daman & Diu,1,0
01-01-2003,Economic:GDP in crore,Delhi,1,0
01-01-2003,Economic:GDP in crore,Goa,1,0
01-01-2003,Economic:GDP in crore,Gujarat,1,0
01-01-2003,Economic:GDP in crore,Haryana,1,0
01-01-2003,Economic:GDP in crore,Himachal Pradesh,1,0
01-01-2003,Economic:GDP in crore,Jammu and Kashmir,1,0
01-01-2003,Economic:GDP in crore,Jharkhand,1,0
01-01-2003,Economic:GDP in crore,Karnataka,1,0
01-01-2003,Economic:GDP in crore,Kerala,1,0
01-01-2003,Economic:GDP in crore,Lakshadweep,1,0
01-01-2003,Economic:GDP in crore,Madhya Pradesh,1,0
01-01-2003,Economic:GDP in crore,Maharashtra,1,0
01-01-2003,Economic:GDP in crore,Manipur,1,0
01-01-2003,Economic:GDP in crore,Meghalaya,1,0
01-01-2003,Economic:GDP in crore,Mizoram,1,0
01-01-2003,Economic:GDP in crore,Nagaland,1,0
01-01-2003,Economic:GDP in crore,Odisha,1,0
01-01-2003,Economic:GDP in crore,Puducherry,1,0
01-01-2003,Economic:GDP in crore,Punjab,1,0
01-01-2003,Economic:GDP in crore,Rajasthan,1,0
01-01-2003,Economic:GDP in crore,Sikkim,1,0
01-01-2003,Economic:GDP in crore,Tamil Nadu,1,0
01-01-2003,Economic:GDP in crore,Telangana,1,0
01-01-2003,Economic:GDP in crore,Tripura,1,0
01-01-2003,Economic:GDP in crore,Uttar Pradesh,1,0
01-01-2003,Economic:GDP in crore,Uttarakhand,1,0
01-01-2003,Economic:GDP in crore,West Bengal,1,0
01-01-2003,Political:Total Persons involved in corruption,Andaman & Nicobar Islands,1,3
01-01-2003,Political:Total Persons involved in corruption,Andhra Pradesh,1,250
01-01-2003,Political:Total Persons involved in corruption,Arunachal Pradesh,1,0
01-01-2003,Political:Total Persons involved in corruption,Assam,1,55
01-01-2003,Political:Total Persons involved in corruption,Bihar,1,109
01-01-2003,Political:Total Persons involved in corruption,Chandigarh,1,23
01-01-2003,Political:Total Persons involved in corruption,Chhattisgarh,1,62
01-01-2003,Political:Total Persons involved in corruption,Dadra & Nagar Haveli,1,1
01-01-2003,Political:Total Persons involved in corruption,Daman & Diu,1,0
01-01-2003,Political:Total Persons involved in corruption,Delhi,1,106
01-01-2003,Political:Total Persons involved in corruption,Goa,1,3
01-01-2003,Political:Total Persons involved in corruption,Gujarat,1,871
