Rate,Year,Number of Records,Values
Female unemployment,01-01-1991,1,5
Male unemployment,01-01-1991,1,4
Unemployment rate,01-01-1991,1,4.3
Youth unemployment,01-01-1991,1,10.6
Female unemployment,01-01-1992,1,4.9
Male unemployment,01-01-1992,1,4
Unemployment rate,01-01-1992,1,4.2
Youth unemployment,01-01-1992,1,10.6
Female unemployment,01-01-1993,1,4.8
Male unemployment,01-01-1993,1,4
Unemployment rate,01-01-1993,1,4.3
Youth unemployment,01-01-1993,1,10.7
Female unemployment,01-01-1994,1,3.9
Male unemployment,01-01-1994,1,3.6
Unemployment rate,01-01-1994,1,3.7
Youth unemployment,01-01-1994,1,8.2
Female unemployment,01-01-1995,1,4.1
Male unemployment,01-01-1995,1,3.9
Unemployment rate,01-01-1995,1,4
Youth unemployment,01-01-1995,1,8.9
Female unemployment,01-01-1996,1,4.1
Male unemployment,01-01-1996,1,3.9
Unemployment rate,01-01-1996,1,4
Youth unemployment,01-01-1996,1,8.9
Female unemployment,01-01-1997,1,4.2
Male unemployment,01-01-1997,1,4.2
Unemployment rate,01-01-1997,1,4.2
Youth unemployment,01-01-1997,1,9.6
Female unemployment,01-01-1998,1,4.8
Male unemployment,01-01-1998,1,3.8
Unemployment rate,01-01-1998,1,4.1
Youth unemployment,01-01-1998,1,10.5
Female unemployment,01-01-1999,1,4.3
Male unemployment,01-01-1999,1,4.4
Unemployment rate,01-01-1999,1,4.4
Youth unemployment,01-01-1999,1,10.1
Female unemployment,01-01-2000,1,4.2
Male unemployment,01-01-2000,1,4.3
Unemployment rate,01-01-2000,1,4.3
Youth unemployment,01-01-2000,1,10
Female unemployment,01-01-2001,1,4.5
Male unemployment,01-01-2001,1,3.8
Unemployment rate,01-01-2001,1,4
Youth unemployment,01-01-2001,1,10.5
Female unemployment,01-01-2002,1,4.4
Male unemployment,01-01-2002,1,4.2
Unemployment rate,01-01-2002,1,4.3
Youth unemployment,01-01-2002,1,9.9
Female unemployment,01-01-2003,1,3.9
Male unemployment,01-01-2003,1,3.9
Unemployment rate,01-01-2003,1,3.9
Youth unemployment,01-01-2003,1,9
Female unemployment,01-01-2004,1,3.9
Male unemployment,01-01-2004,1,3.9
Unemployment rate,01-01-2004,1,3.9
Youth unemployment,01-01-2004,1,9.1
Female unemployment,01-01-2005,1,5
Male unemployment,01-01-2005,1,4.1
Unemployment rate,01-01-2005,1,4.4
Youth unemployment,01-01-2005,1,9.9
Female unemployment,01-01-2006,1,4.9
Male unemployment,01-01-2006,1,4.1
Unemployment rate,01-01-2006,1,4.3
Youth unemployment,01-01-2006,1,10
Female unemployment,01-01-2007,1,3.8
Male unemployment,01-01-2007,1,3.7
Unemployment rate,01-01-2007,1,3.7
Youth unemployment,01-01-2007,1,8.9
Female unemployment,01-01-2008,1,4
Male unemployment,01-01-2008,1,4.1
Unemployment rate,01-01-2008,1,4.1
Youth unemployment,01-01-2008,1,10
Female unemployment,01-01-2009,1,3.9
Male unemployment,01-01-2009,1,3.9
Unemployment rate,01-01-2009,1,3.9
Youth unemployment,01-01-2009,1,9.7
Female unemployment,01-01-2010,1,4.4
Male unemployment,01-01-2010,1,3.3
Unemployment rate,01-01-2010,1,3.5
Youth unemployment,01-01-2010,1,10.2
Female unemployment,01-01-2011,1,4.3
Male unemployment,01-01-2011,1,3.3
Unemployment rate,01-01-2011,1,3.5
Youth unemployment,01-01-2011,1,10.3
Female unemployment,01-01-2012,1,4.1
Male unemployment,01-01-2012,1,3.4
Unemployment rate,01-01-2012,1,3.6
Youth unemployment,01-01-2012,1,10.7
Female unemployment,01-01-2013,1,4
Male unemployment,01-01-2013,1,3.4
Unemployment rate,01-01-2013,1,3.6
Youth unemployment,01-01-2013,1,10.4
Female unemployment,01-01-2014,1,4
Male unemployment,01-01-2014,1,3.5
Unemployment rate,01-01-2014,1,3.6
Youth unemployment,01-01-2014,1,10.4
