Area,Date,Frequency,Region,Estimated Employed,Estimated Labour Participation Rate (%),Estimated Unemployment Rate (%)
Rural,31-05-2019,Monthly,Andhra Pradesh,11999139,43.24,3.65
Rural,30-06-2019,Monthly,Andhra Pradesh,11755881,42.05,3.05
Rural,31-07-2019,Monthly,Andhra Pradesh,12086707,43.5,3.75
Rural,31-08-2019,Monthly,Andhra Pradesh,12285693,43.97,3.32
Rural,30-09-2019,Monthly,Andhra Pradesh,12256762,44.68,5.17
Rural,31-10-2019,Monthly,Andhra Pradesh,12017412,43.01,3.52
Rural,30-11-2019,Monthly,Andhra Pradesh,11397681,41,4.12
Rural,31-12-2019,Monthly,Andhra Pradesh,12528395,45.14,4.38
Rural,31-01-2020,Monthly,Andhra Pradesh,12016676,43.46,4.84
Rural,29-02-2020,Monthly,Andhra Pradesh,11723617,42.83,5.91
Rural,31-03-2020,Monthly,Andhra Pradesh,11359660,40.66,4.06
Rural,30-04-2020,Monthly,Andhra Pradesh,8792827,36.03,16.29
Rural,31-05-2020,Monthly,Andhra Pradesh,9526902,38.16,14.46
Rural,30-06-2020,Monthly,Andhra Pradesh,15572975,53.76,0.85
Rural,31-05-2019,Monthly,Assam,11749334,57.39,4.29
Rural,30-06-2019,Monthly,Assam,8923222,43.87,5.08
Rural,31-07-2019,Monthly,Assam,9911534,48.21,4.26
Rural,31-08-2019,Monthly,Assam,9292039,45.83,5.79
Rural,30-09-2019,Monthly,Assam,11468349,55.67,4.46
Rural,31-10-2019,Monthly,Assam,8395906,40.76,4.65
Rural,30-11-2019,Monthly,Assam,9625362,46.64,4.66
Rural,31-01-2020,Monthly,Assam,11420996,54.9,4.29
Rural,29-02-2020,Monthly,Assam,8462814,40.17,3.26
Rural,31-03-2020,Monthly,Assam,9878742,47.05,3.77
Rural,31-05-2020,Monthly,Assam,9926176,50,9.38
Rural,30-06-2020,Monthly,Assam,7544937,34.38,0
Rural,31-05-2019,Monthly,Bihar,24322330,39.75,9.27
Rural,30-06-2019,Monthly,Bihar,24097712,39.71,10.2
Rural,31-07-2019,Monthly,Bihar,23248875,39.66,13.44
Rural,31-08-2019,Monthly,Bihar,22260203,36.85,11
Rural,30-09-2019,Monthly,Bihar,23905700,38.57,8.87
Rural,31-10-2019,Monthly,Bihar,24053140,40.31,12.47
Rural,30-11-2019,Monthly,Bihar,22445989,37.51,12.4
Rural,31-12-2019,Monthly,Bihar,22914530,37.25,10.16
Rural,31-01-2020,Monthly,Bihar,23409006,37.54,9.13
Rural,29-02-2020,Monthly,Bihar,23168192,37.28,9.61
Rural,31-03-2020,Monthly,Bihar,22667882,38.88,15.39
Rural,30-04-2020,Monthly,Bihar,14645275,38.63,45.09
